model,train_r2,val_r2,train_mean_squared_error,val_mean_squared_error,train_mean_absolute_error,val_mean_absolute_error
linear,-2.2827788479200958e+26,-2.3280602030225153e+26,3.0913521189677746e+26,3.0913521189678203e+26,12852550436197.781,12852550436197.916
ridge,0.4370634524397262,-0.07301980667700762,0.8511995628741067,1.145145820604586,0.7235836354494454,0.851958906304288
lasso,0.3969170304684253,-0.12694228940470678,0.9125272188652872,1.2170894923496836,0.7573160398112875,0.8684640734337545
elasticnet,0.4209797196185333,-0.13076931517228416,0.8744872215953657,1.211670022475778,0.7312012905678192,0.8716517978410462
bayesianridge,0.4303289607430031,-0.1103776599796169,0.8615358723785604,1.1973515616092505,0.726937791875265,0.867755367793323
sgd,0.4181891740279977,-0.16386972737505592,0.8798998155049865,1.2708787654755447,0.7340624091659971,0.8911339354056811
knn,0.6554673874745619,-0.14636114578427942,0.5158883340638721,1.1719187628855068,0.5613845436581819,0.8686298585495109
svr,0.589063666422865,-0.0607850291394306,0.6181658640446026,1.1394946216377417,0.5963088632728119,0.8371460375432402
kernel_ridge,-3.909282486281614,-7.382432501555428,7.328955711312082,8.210750810844313,2.5425708179154087,2.6817195137760246
decision_tree,-0.7326651757182863,-4.019260993984154,2.6791747107943062,5.080717029425129,0.9062422639072947,1.8458678279744383
random_forest,0.7347928156028768,-0.35648597517166175,0.4135304948110431,1.4103051116248553,0.42595919546812244,0.9674860480573289
extra_trees,-0.6290239317119805,-2.641966323159233,2.5862157144142564,3.612178199507214,1.0795013712309678,1.5732428391732134
gb,0.6688033345795602,-0.7946872272672222,0.5021393970478336,1.8370167729382376,0.557962361090898,1.0944919643051907
hist_gb,-0.14104038436061872,-3.088943716760048,1.768375350039161,4.105480203571801,0.8287421735198445,1.6466023562805656
gp,-3.322985148774559,-6.469826858813117,6.410315150735556,7.196231452793131,2.2626823430705705,2.3975417196960285
mlp,-1.4438709141421917,-4.238725541789857,3.6127294246696477,5.191566262333052,1.5628078865311401,1.9204240441010854
