model,train_r2,val_r2,train_mean_squared_error,val_mean_squared_error,train_mean_absolute_error,val_mean_absolute_error
linear,0.44244392392013887,-0.03992299724780657,0.8418886572482164,1.105164993217683,0.7207172730556385,0.837814857993586
ridge,0.43324866046401667,-0.055849234061700906,0.8568855533811384,1.1247192229220926,0.726556424459887,0.8453849475158716
lasso,0.39152733169729376,-0.13108557181184471,0.9210703264005635,1.2230084845123521,0.7616931742736306,0.8700204269665391
elasticnet,0.4180965452624285,-0.12320457200026673,0.8790895588982878,1.204121066817903,0.733204639363645,0.8684504185984551
bayesianridge,0.4267687800277439,-0.10011285779133224,0.8672632651081376,1.1838642903906984,0.7296571167430164,0.8637834607163011
sgd,0.4136456172752328,-0.15526620109932193,0.8872504070523943,1.2606079646901605,0.7373796189270843,0.8875224326440405
knn,0.6542218008526011,-0.15861481872712616,0.5179745687311245,1.1851107638332408,0.5613320242310913,0.873914750188409
svr,0.5863581280225867,-0.06959690697766281,0.6224153805469627,1.1493077403672434,0.5988211992822811,0.8414870791752248
kernel_ridge,-3.910633409176215,-7.384601408141535,7.335311777198799,8.216101730395087,2.5428520248735635,2.685904482527239
decision_tree,-0.7343829907263784,-4.003281657624408,2.6817522613701272,5.057113818736857,0.9073942129681244,1.8454968546470147
random_forest,0.7353345790799994,-0.34518264069138366,0.4128660080923082,1.4028907035000395,0.4249288208776001,0.9630822689880183
extra_trees,-0.6086359145647794,-2.498246187164412,2.557394582197376,3.5002703318634323,1.0811131160265668,1.5534093245143208
gb,0.6914845821309432,-0.7969192561613067,0.46617443822420784,1.8373247998151236,0.5367669957483359,1.0948677464233376
hist_gb,-0.14103412849614302,-3.088955759346676,1.7683709429389147,4.105498025057706,0.8287724541836552,1.6466093687136454
gp,-3.321845831080325,-6.453885961808948,6.408560778060419,7.1809654713573865,2.262429863700377,2.394966240179598
mlp,-1.3682831870290577,-5.259410837750961,3.5278103329068644,6.043575130872369,1.5377862875830757,2.0321226887281743
xgb,0.2634125132407661,-1.9308198633637605,1.1360894627442077,2.9744107704652527,0.5769722034438887,1.4016398348522259
lgbm,0.33681826287786854,-3.2647817473465133,1.0060491197512336,4.239503950560056,0.5402793899119553,1.68731713981586
catboost,0.7646305178833293,-0.7780834644661534,0.36225912596008436,1.8482922995757871,0.46511538157281274,1.0848509491433567
