model,train_r2,val_r2,train_mean_squared_error,val_mean_squared_error,train_mean_absolute_error,val_mean_absolute_error
linear,0.4441558289966977,-0.058277813079664176,0.8396634935591013,1.126509648581126,0.7192799751267234,0.8448416386263482
ridge,0.4370634524397149,-0.07301980667705332,0.851199562874126,1.1451458206046157,0.7235836354494557,0.8519589063043085
lasso,0.3969170304684254,-0.12694228940470667,0.9125272188652872,1.2170894923496836,0.7573160398112875,0.8684640734337545
elasticnet,0.4209797196185333,-0.13076931517228416,0.8744872215953657,1.211670022475778,0.7312012905678194,0.8716517978410462
bayesianridge,0.430328960743001,-0.11037765997961557,0.8615358723785637,1.197351561609249,0.7269377918752666,0.8677553677933222
sgd,0.41818917402799755,-0.16386972737505603,0.8798998155049867,1.2708787654755447,0.7340624091659972,0.8911339354056812
knn,0.6554673874745619,-0.1463611457842793,0.5158883340638721,1.1719187628855068,0.5613845436581819,0.8686298585495109
svr,0.589063666422865,-0.0607850291394324,0.6181658640446029,1.1394946216377433,0.5963088632728121,0.8371460375432414
kernel_ridge,-3.9092824862815263,-7.382432501550587,7.32895571131197,8.210750810839665,2.5425708179154523,2.681719513775211
decision_tree,-0.6382948467807708,-4.009870872171298,2.5186767558647043,5.058168159068325,0.8621672722221628,1.8411051954894497
random_forest,0.7349244793831036,-0.3520928447911316,0.41327369547514514,1.4064215133905078,0.4264751514205365,0.966202637328663
extra_trees,-0.660603761601876,-2.675375877727324,2.6393567355498946,3.6447349937722002,1.0898629958055837,1.5748208578297742
gb,0.6687936514216016,-0.7950172314393011,0.5021540814890917,1.8371630656938116,0.5579739450275745,1.0945685954710775
hist_gb,-0.1408876341321527,-3.0918718514455303,1.768169790783412,4.107136954090697,0.82853564258954,1.6473166544545712
gp,-3.322985148774559,-6.469826858813116,6.410315150735556,7.196231452793131,2.2626823430705705,2.397541719696028
mlp,-1.4438709141421915,-4.238725541789857,3.6127294246696477,5.191566262333053,1.56280788653114,1.9204240441010854
xgb,0.28186406301447786,-2.005996803699791,1.1070379830089598,3.0366474781977417,0.5893327054952284,1.414132383744848
lgbm,0.3074582239447816,-3.3612380748329285,1.0536821647410437,4.346360554580666,0.5629881324657191,1.7102554319755725
catboost,0.754849642783148,-1.0296568809138293,0.3757478371674668,2.070553952236628,0.4667742943417589,1.1568184973082736
