model,train_r2,val_r2,train_mean_squared_error,val_mean_squared_error,train_mean_absolute_error,val_mean_absolute_error
linear,0.4983287505558803,-0.21579875087192052,0.7539687893109184,1.297541884515209,0.6868418830116381,0.9062478468060355
ridge,0.4975154784011642,-0.12491090774543785,0.7551538097259902,1.1986871601008298,0.687699220847449,0.872885080067551
lasso,0.44238954420529597,-0.13108759752695803,0.8376121301629826,1.223011438851815,0.7184836075803227,0.8700214082328639
elasticnet,0.46840670350958835,-0.12419727707420192,0.7987493032741658,1.2050979074060206,0.7043008385761759,0.8688375789792886
bayesianridge,0.4922877273428032,-0.10060161346527519,0.7628733726643014,1.184325122777135,0.6920449051365081,0.8639787809025435
sgd,0.48918056751877703,-0.1534429664136348,0.7673729050730904,1.258726834474396,0.6932920881697452,0.8868547808101088
