model,train_r2,val_r2,train_mean_squared_error,val_mean_squared_error,train_mean_absolute_error,val_mean_absolute_error
linear,0.5000263924423037,-0.19087183696807575,0.751284595663611,1.260776478634275,0.6853370465154842,0.8973788635624931
ridge,0.499707875099202,-0.19301438342381988,0.7517537524957568,1.2629548126061045,0.6861922228995954,0.8986663280617323
lasso,0.4439457708569769,-0.2004718565799652,0.8351812415358163,1.2759621424098915,0.7176997660995814,0.9009771515702392
elasticnet,0.4695819357510523,-0.1871642442258389,0.7969512967906082,1.2530295992113114,0.7041675311990641,0.8947502858474727
bayesianridge,0.4964951427434596,-0.18681240029997967,0.7565068281486477,1.2539798367911605,0.6897159329977176,0.8971407652905276
sgd,0.49335752003715194,-0.20903547875257758,0.7610954145740723,1.2891608313939051,0.6907518330661937,0.9062077647826479
knn,0.680811009761485,-0.19149236310861933,0.47855019779883473,1.2178136486931648,0.539323679171168,0.8863270344615064
svr,0.6657161473890936,-0.020538566034149452,0.5014441678591401,1.088565931163308,0.5144851834707038,0.8182390191299591
kernel_ridge,-3.7438078302743527,-6.799531321435315,7.04118518371701,7.6651718549518595,2.503183967741361,2.541566826016187
decision_tree,1.0,-0.5745655970305,7.617755522520501e-35,1.7566953713792592,3.430732093262287e-19,1.0117638503409303
random_forest,0.9650445046235505,-0.05268862693754224,0.051848966076230366,1.1071265054782777,0.1715965745409352,0.8347313696870039
extra_trees,1.0,-0.14942133877503705,1.3294714184700894e-29,1.2558177967565922,2.7517880997279018e-15,0.8754852912779473
gb,0.83818573169166,-0.04647117142740311,0.24140392918429326,1.118889621544977,0.38052513381857533,0.8260789951799102
hist_gb,0.9811289864013994,-0.1879049933623605,0.027971520485383372,1.2912607124388356,0.1276645550398121,0.8908933915467584
gp,1.0,-3.5277060783356733,3.217071176677431e-20,4.320135301042351,1.4753946478360152e-10,1.7398838403352006
mlp,0.8431534168874707,-1.053334029214625,0.23397350303544875,2.044696294366351,0.3720776454727025,1.1200780415180702
xgb,0.9996717356787566,-0.21739681780975917,0.0004834518941251975,1.314687510758178,0.01530023664420289,0.9015236336379076
lgbm,0.9811714997540228,-0.17828080576257066,0.027942647064826298,1.2739460828357552,0.12861487325269277,0.882601764590724
catboost,0.955287392377642,-0.22854595895838187,0.06637865391020023,1.2912339714734036,0.2023417178170252,0.8917962987914777
